id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
103284510,3899,ZSC Lions,3898,Kloten Flyers,96301,Nationalliga A,54201,Schweiz,Nationalliga A - Schweiz,Eishockey,02/01/2014 15:45,02/01/2014 18:13,1,0,1,1,0,1,2,2,1.78217,5.56265,3.81802,4.5,1.60132,2.663,5.5,2.154,1.86655
103284610,3906,EHC Biel,3894,HC Fribourg Gotteron,96301,Nationalliga A,54201,Schweiz,Nationalliga A - Schweiz,Eishockey,02/01/2014 19:46,02/01/2014 21:52,1,2,1,1,0,0,2,3,3.57869,4.79134,1.95367,4.5,1.60132,2.663,5.5,2.16418,1.85897
103465110,111039,Admiral Vladivostok,3941,SKA St. Petersburg,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 07:05,03/01/2014 09:09,1,2,1,1,2,1,4,4,5.86857,4.73492,1.61707,4.5,1.80728,2.23873,5.5,2.68735,1.59264
103465210,3950,Amur Chabarowsk,3948,Lokomotive Jaroslawl,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 07:01,03/01/2014 09:12,0,0,2,0,0,1,2,1,4.24688,4.26423,1.87996,4.5,2.20882,1.82725,5.5,3.51092,1.39566
103465310,3935,Met. Nowokusnezk,5605,Atlant Moskau,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 11:02,03/01/2014 13:14,0,2,1,2,1,1,2,5,3.3135,4.12501,2.19584,4.5,2.18849,1.84141,5.5,3.24873,1.44469
103465410,3939,Sibir Nowosibirsk,3943,Sever. Cherepovec,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 11:02,03/01/2014 13:26,0,0,1,2,1,1,2,3,1.81341,4.27479,4.64883,4.5,2.21872,1.82053,5.5,3.53863,1.39391
103465510,6333,Trak. Chelyabinsk,52311,HC Lev Prag,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 12:01,03/01/2014 14:30,0,0,1,1,1,1,2,2,2.35298,4.09697,3.02183,4.5,2.18849,1.84141,5.5,3.40428,1.41592
103465610,3938,Met. Magnitogorsk,2404,Slovan Bratislava,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 12:00,03/01/2014 14:04,2,0,4,1,0,1,6,2,1.42358,5.7492,8.19659,4.5,1.64147,2.55891,5.5,2.2846,1.77845
103465710,3944,Salavat Yulaev UFA,24984,Dinamo Riga,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 12:01,03/01/2014 14:13,2,0,1,2,0,1,3,3,1.86671,4.40995,4.23351,,,,5.5,2.61125,1.62064
103465810,3951,Neft. Nischnekamsk,3946,ZSKA Moskau,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 14:01,03/01/2014 16:12,0,1,0,1,1,2,1,4,3.34575,4.0963,2.19262,,,,5.5,2.86908,1.53502
103465910,7857,Torpedo Nowgorod,36346,Avto. Yekaterinburg,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 14:01,03/01/2014 16:18,2,1,0,1,1,1,3,3,1.94585,4.37086,3.88015,,,,5.5,3.23524,1.44738
103466010,5606,HC Vitiaz Chehov,24985,Barys Astana,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 14:01,03/01/2014 16:34,0,0,0,0,1,1,1,1,4.45278,4.45278,1.8154,,,,5.5,2.00727,1.99278
103466110,3947,Ak Bars Kasan,43853,HC Yugra,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 14:31,03/01/2014 16:47,0,0,2,1,2,1,4,2,1.39817,6.13478,8.1628,,,,5.5,2.31359,1.76127
103466210,43854,OHK Dynamo Moskau,3945,Awangard Omsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,03/01/2014 14:32,03/01/2014 16:52,1,2,3,2,2,0,6,4,1.82324,4.61494,4.25806,,,,5.5,2.7521,1.57074
103466310,3937,Spartak Moskau,24983,Dinamo Minsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,04/01/2014 14:01,04/01/2014 16:08,0,0,1,1,0,1,1,2,2.21381,4.19015,3.23946,,,,5.5,3.29848,1.43507
103466410,36289,Medvescak Zagreb,73568,HC Donbass,673301,KHL,101201,Russland,KHL - Russland,Eishockey,04/01/2014 17:31,04/01/2014 20:03,1,1,0,1,0,1,1,3,2.35477,4.05797,3.04042,,,,5.5,2.96026,1.51014
103492810,3866,HC Vitkovice,3877,HC Mountfield ,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 17:02,03/01/2014 19:20,3,0,2,2,1,0,6,2,2.47841,4.14583,2.81445,,,,5.5,2.64374,1.60837
103492910,37844,HC Chomutov,3872,PSG Zlín,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 17:30,03/01/2014 20:07,0,2,1,0,1,0,2,2,4.44697,4.72391,1.77482,,,,5.5,2.39426,1.71723
103493010,3874,HC Karlovy Vary,3865,Benzina Litvinov,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 18:02,03/01/2014 20:32,0,0,1,0,1,1,2,1,2.40491,3.95852,3.01601,,,,5.5,2.85506,1.5338
103493110,3875,HC Pardubice,3879,HC Liberec,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 18:00,03/01/2014 20:22,1,0,1,0,2,1,4,1,1.91926,4.50203,3.90478,,,,5.5,2.1381,1.87866
103493210,3871,HC Kladno,3870,HC Ocelari Trinec,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 18:01,03/01/2014 20:40,1,0,0,1,0,0,1,1,2.55977,4.21401,2.66621,,,,5.5,2.70842,1.58534
103493310,3878,HC Slavia Prag,3867,HC Pilsen,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 18:15,03/01/2014 20:34,1,0,0,0,2,1,3,1,2.42277,4.10166,2.90681,,,,5.5,2.78304,1.56084
103493410,36334,HC Kometa Brno,3876,Sparta Prag,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,03/01/2014 18:31,03/01/2014 20:53,0,1,2,2,0,1,2,4,2.87505,4.17248,2.42416,,,,5.5,2.36478,1.73272
103493510,3839,HIFK Hockey,3835,Kärpät Oulu,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:32,03/01/2014 19:55,0,0,1,0,3,1,4,1,2.97854,4.2773,2.31854,,,,5.5,2.65433,1.60448
103493610,3837,HPK Hämeenlinna,3840,Jokerit Helsinki,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:31,03/01/2014 19:38,0,1,1,1,0,2,1,4,2.59776,3.9792,2.74917,4.5,2.06934,1.93515,5.5,3.41664,1.4138
103493710,3841,Ilves Tampere,5568,KalPa Hockey,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:31,03/01/2014 19:40,2,0,1,0,2,0,5,0,2.19694,4.11674,3.29114,4.5,2.01909,1.98127,5.5,2.90078,1.5261
103493810,3842,JYP Jyväskylä,3846,Ässät Pori,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:31,03/01/2014 19:50,0,0,1,1,0,1,1,2,1.69068,5.09701,4.70372,4.5,1.69979,2.429,5.5,2.38438,1.72235
103493910,3843,Lukko Rauma,3844,Pelicans Lahti,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:30,03/01/2014 19:46,0,1,0,0,0,1,0,2,1.83824,4.43664,4.33643,4.5,1.77882,2.284,5.5,2.52439,1.656
103494110,3836,Turku PS,3834,Tappara Tampere,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,03/01/2014 17:31,03/01/2014 19:48,1,0,3,1,0,1,4,2,3.80376,4.3866,1.96161,4.5,1.73065,2.36865,5.5,2.45841,1.68568
103494310,3858,Nürnberg Ice Tigers,3848,Hamburg Freezers,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,03/01/2014 19:30,03/01/2014 21:41,0,1,2,1,0,1,2,3,2.2012,4.53982,3.07287,4.5,1.5814,2.72,5.5,2.12396,1.88971
